landsat_product_id,description,acquisition_date_time,platform,scene_cloud_cover_l1,land_cloud_cover_l1,sun_azimuth,sun_elevation,number_of_assets
LC09_L2SP_197028_20251103_20251105_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-11-03T10:29:35.640834Z,LANDSAT_9,80.98,80.98,164.56656687,27.43713685,18
LC09_L2SP_196029_20251027_20251113_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-10-27T10:23:46.661382Z,LANDSAT_9,58.12,58.12,163.28570269,30.92873836,18
LC09_L2SP_196028_20251027_20251113_02_T2_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-10-27T10:23:22.778838Z,LANDSAT_9,99.97,99.97,163.98052278,29.64765106,18
LC09_L2SP_196029_20251011_20251012_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-10-11T10:23:50.806808Z,LANDSAT_9,7.24,7.24,160.93118375,36.37112358,18
LC09_L2SP_196028_20251011_20251012_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-10-11T10:23:26.924265Z,LANDSAT_9,52.76,52.76,161.7551546,35.1183803,18
LC09_L2SP_197028_20251002_20251003_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-10-02T10:29:31.163268Z,LANDSAT_9,8.63,8.63,159.98224834,38.31557742,18
LC09_L2SP_196029_20250925_20250926_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-25T10:23:45.670507Z,LANDSAT_9,49.78,49.78,157.36493898,42.01415007,18
LC09_L2SP_196028_20250925_20250926_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-25T10:23:21.783726Z,LANDSAT_9,75.91,75.91,158.37379916,40.80788145,18
LC08_L2SP_197028_20250924_20251001_02_T2_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-24T10:29:30.438615Z,LANDSAT_8,97.04,97.04,158.12737885,41.16006001,18
LC08_L2SP_196029_20250917_20250929_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-17T10:23:41.079978Z,LANDSAT_8,0.39,0.39,155.19986008,44.79007545,18
LC08_L2SP_196028_20250917_20250929_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-17T10:23:17.197410Z,LANDSAT_8,1.79,1.79,156.32456961,43.61463245,18
LC09_L2SP_197028_20250916_20250917_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-16T10:29:29.170188Z,LANDSAT_9,78.18,78.18,156.05665348,43.95883116,18
LC09_L2SP_196029_20250909_20250911_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-09T10:23:42.101746Z,LANDSAT_9,68.64,68.64,152.83810839,47.47602982,18
LC09_L2SP_196028_20250909_20250911_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-09T10:23:18.219203Z,LANDSAT_9,67.73,67.73,154.09418795,46.3355209,18
LC08_L2SP_197028_20250908_20250919_02_T2_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-08T10:29:23.419181Z,LANDSAT_8,28.6,28.6,153.80895622,46.66691729,18
LC08_L2SP_196029_20250901_20250911_02_T2_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-01T10:23:35.072508Z,LANDSAT_8,76.19,76.19,150.33849132,50.03739824,18
LC08_L2SP_196028_20250901_20250911_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-09-01T10:23:11.185704Z,LANDSAT_8,88.72,88.72,151.74186279,48.93585678,18
LC09_L2SP_197028_20250831_20250901_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-31T10:29:24.584924Z,LANDSAT_9,31.83,31.83,151.43894435,49.24835291,18
LC09_L2SP_196029_20250824_20250825_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-24T10:23:36.275583Z,LANDSAT_9,0.19,0.19,147.77327663,52.44593903,18
LC09_L2SP_196028_20250824_20250825_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-24T10:23:12.393039Z,LANDSAT_9,1.52,1.52,149.33598314,51.38651596,18
LC08_L2SP_197028_20250823_20250828_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-23T10:29:19.276566Z,LANDSAT_8,6.59,6.59,149.04669088,51.68188937,18
LC08_L2SP_196029_20250816_20250821_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-16T10:23:31.862839Z,LANDSAT_8,0.97,0.97,145.24778048,54.67962605,18
LC08_L2SP_196028_20250816_20250821_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-16T10:23:07.976036Z,LANDSAT_8,4.27,4.27,146.98053345,53.66333104,18
LC09_L2SP_197028_20250815_20250816_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-15T10:29:20.699361Z,LANDSAT_9,0.04,0.04,146.68128715,53.92985508,18
LC09_L2SP_196029_20250808_20250809_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-08T10:23:29.319153Z,LANDSAT_9,0.18,0.18,142.82589153,56.70575255,18
LC09_L2SP_196028_20250808_20250809_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-08T10:23:05.432374Z,LANDSAT_9,0.47,0.47,144.73249963,55.73232026,18
LC08_L2SP_197028_20250807_20250815_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-08-07T10:29:15.100682Z,LANDSAT_8,0.0,0.0,144.48350165,55.97923621,18
LC08_L2SP_196029_20250731_20250807_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-31T10:23:22.684294Z,LANDSAT_8,7.67,7.67,140.66998638,58.52186027,18
LC08_L2SP_196028_20250731_20250807_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-31T10:22:58.801726Z,LANDSAT_8,29.89,29.89,142.74935952,57.58828083,18
LC09_L2SP_197028_20250730_20250801_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-30T10:29:08.800012Z,LANDSAT_9,67.05,67.05,142.5045275,57.79744689,18
LC09_L2SP_196029_20250723_20250726_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-23T10:23:20.546211Z,LANDSAT_9,69.94,69.94,138.83986193,60.09577816,18
LC09_L2SP_196028_20250723_20250726_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-23T10:22:56.655196Z,LANDSAT_9,70.32,70.32,141.08304336,59.19615152,18
LC08_L2SP_197028_20250722_20250730_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-22T10:29:08.409022Z,LANDSAT_8,66.49,66.49,140.92987446,59.38500608,18
LC08_L2SP_196029_20250715_20250726_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-15T10:23:18.482599Z,LANDSAT_8,46.73,46.73,137.51605429,61.42505402,18
LC08_L2SP_196028_20250715_20250726_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-15T10:22:54.600029Z,LANDSAT_8,61.62,61.62,139.90259902,60.55087285,18
LC09_L2SP_197028_20250714_20250716_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-14T10:29:02.183123Z,LANDSAT_9,16.63,16.63,139.76166004,60.69164109,18
LC09_L2SP_196029_20250707_20250709_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-07T10:23:12.472339Z,LANDSAT_9,36.51,36.51,136.69043743,62.45976126,18
LC09_L2SP_196028_20250707_20250709_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-07T10:22:48.581324Z,LANDSAT_9,74.75,74.75,139.19231487,61.60075359,18
LC08_L2SP_197028_20250706_20250715_02_T2_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-07-06T10:29:01.910148Z,LANDSAT_8,99.99,99.99,139.17753679,61.71908037,18
LC08_L2SP_196029_20250629_20250711_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-29T10:23:14.211201Z,LANDSAT_8,2.86,2.86,136.53554404,63.20663163,18
LC08_L2SP_196028_20250629_20250711_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-29T10:22:50.320161Z,LANDSAT_8,2.24,2.24,139.11238969,62.35009894,18
LC09_L2SP_197028_20250628_20250629_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-28T10:28:58.099903Z,LANDSAT_9,0.11,0.11,139.1036452,62.40958307,18
LC09_L2SP_196029_20250621_20250622_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-21T10:23:07.940212Z,LANDSAT_9,3.75,3.75,136.92958282,63.59741897,18
LC09_L2SP_196028_20250621_20250622_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-21T10:22:44.057668Z,LANDSAT_9,2.89,2.89,139.53124572,62.7327075,18
LC08_L2SP_197028_20250620_20250627_02_T1_ST,Landsat Collection 2 Level-2 Surface Temperature Product Product,2025-06-20T10:28:57.460302Z,LANDSAT_8,10.84,10.84,139.66338084,62.76512304,18
