Landsat Product Identifier L2;Landsat Product Identifier L1;Landsat Scene Identifier;Date Acquired;Collection Category;Collection Number;WRS Path;WRS Row;Target WRS Path;Target WRS Row;Nadir/Off Nadir;Roll Angle;Date Product Generated L2;Date Product Generated L1;Start Time;Stop Time;Station Identifier;Day/Night Indicator;Land Cloud Cover;Scene Cloud Cover L1;Ground Control Points Model;Ground Control Points Version;Geometric RMSE Model;Geometric RMSE Model X;Geometric RMSE Model Y;Processing Software Version;Sun Elevation L0RA;Sun Azimuth L0RA;TIRS SSM Model;Data Type L2;Sensor Identifier;Satellite;Product Map Projection L1;UTM Zone;Datum;Ellipsoid;Scene Center Lat DMS;Scene Center Long DMS;Corner Upper Left Lat DMS;Corner Upper Left Long DMS;Corner Upper Right Lat DMS;Corner Upper Right Long DMS;Corner Lower Left Lat DMS;Corner Lower Left Long DMS;Corner Lower Right Lat DMS;Corner Lower Right Long DMS;Scene Center Latitude;Scene Center Longitude;Corner Upper Left Latitude;Corner Upper Left Longitude;Corner Upper Right Latitude;Corner Upper Right Longitude;Corner Lower Left Latitude;Corner Lower Left Longitude;Corner Lower Right Latitude;Corner Lower Right Longitude;Display ID;Entity ID
LC08_L2SP_196028_20130322_20200913_02_T1;LC08_L1TP_196028_20130322_20200913_02_T1;LC81960282013081LGN02;22/03/2013;T1;2;196;28;196;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-22 10:21:51.325364;2013-03-22 10:22:21.121385;LGN;DAY;  38.60;  38.60;550;5;    6.843;    4.724;    4.950;LPGS_15.3.1c;41.52688670;153.11393944;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.64""N";"6°23'28.72""E";"47°02'35.34""N";"4°59'58.74""E";"46°57'19.94""N";"7°54'09.32""E";"45°04'23.74""N";"4°55'47.10""E";"44°59'29.15""N";"7°43'54.73""E"; 46.02990;   6.39131; 47.04315;   4.99965; 46.95554;   7.90259; 45.07326;   4.92975; 44.99143;   7.73187;LC08_L2SP_196028_20130322_20200913_02_T1;LC81960282013081LGN02
LC08_L2SP_196029_20130322_20200912_02_T1;LC08_L1TP_196029_20130322_20200912_02_T1;LC81960292013081LGN02;22/03/2013;T1;2;196;29;196;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-03-22 10:22:15.118974;2013-03-22 10:22:44.914994;LGN;DAY;  38.80;  38.80;787;5;    5.970;    3.933;    4.491;LPGS_15.3.1c;42.65307302;151.98800164;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'29.12""N";"5°52'24.24""E";"45°37'11.17""N";"4°30'07.34""E";"45°32'49.63""N";"7°20'24.86""E";"43°38'26.81""N";"4°27'06.59""E";"43°34'22.58""N";"7°11'44.27""E"; 44.60809;   5.87340; 45.61977;   4.50204; 45.54712;   7.34024; 43.64078;   4.45183; 43.57294;   7.19563;LC08_L2SP_196029_20130322_20200912_02_T1;LC81960292013081LGN02
LC08_L2SP_195029_20130327_20200913_02_T1;LC08_L1TP_195029_20130327_20200913_02_T1;LC81950292013086LGN02;27/03/2013;T1;2;195;29;195;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-27 10:18:01.201336;2013-03-27 10:18:30.997357;LGN;DAY;  38.27;  38.79;458;5;    6.199;    4.237;    4.525;LPGS_15.3.1c;44.64710571;151.63593996;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'29.16""N";"6°59'02.72""E";"45°35'39.19""N";"5°28'40.80""E";"45°38'49.42""N";"8°24'57.92""E";"43°32'43.37""N";"5°35'58.81""E";"43°35'40.49""N";"8°26'10.72""E"; 44.60810;   6.98409; 45.59422;   5.47800; 45.64706;   8.41609; 43.54538;   5.59967; 43.59458;   8.43631;LC08_L2SP_195029_20130327_20200913_02_T1;LC81950292013086LGN02
LC08_L2SP_195030_20130327_20200913_02_T1;LC08_L1TP_195030_20130327_20200913_02_T1;LC81950302013086LGN02;27/03/2013;T1;2;195;30;195;30;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-27 10:18:24.986474;2013-03-27 10:18:54.782494;LGN;DAY;  37.17;  64.70;468;5;    5.963;    4.151;    4.281;LPGS_15.3.1c;45.75339555;150.41172334;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"43°11'04.63""N";"6°29'10.46""E";"44°09'58.90""N";"5°00'31.82""E";"44°13'50.23""N";"7°52'41.09""E";"42°06'55.33""N";"5°08'24.97""E";"42°10'30.76""N";"7°54'54.47""E"; 43.18462;   6.48624; 44.16636;   5.00884; 44.23062;   7.87808; 42.11537;   5.14027; 42.17521;   7.91513;LC08_L2SP_195030_20130327_20200913_02_T1;LC81950302013086LGN02
LC08_L2SP_198027_20130330_20200913_02_T1;LC08_L1TP_198027_20130330_20200913_02_T1;LC81980272013089LGN02;30/03/2013;T1;2;198;27;198;27;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-30 10:34:23.762667;2013-03-30 10:34:53.558688;LGN;DAY;  93.15;  93.15;81;5;    7.269;    5.204;    5.075;LPGS_15.3.1c;43.58880512;153.85138700;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"47°26'57.05""N";"3°46'48.65""E";"48°27'13.68""N";"2°16'01.06""E";"48°25'57.79""N";"5°19'16.68""E";"46°26'05.28""N";"2°17'40.16""E";"46°24'54.50""N";"5°14'03.19""E"; 47.44918;   3.78018; 48.45380;   2.26696; 48.43272;   5.32130; 46.43480;   2.29449; 46.41514;   5.23422;LC08_L2SP_198027_20130330_20200913_02_T1;LC81980272013089LGN02
LC08_L2SP_198028_20130330_20200913_02_T2;LC08_L1GT_198028_20130330_20200913_02_T2;LC81980282013089LGN02;30/03/2013;T2;2;198;28;198;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-30 10:34:47.547805;2013-03-30 10:35:17.343825;LGN;DAY;  99.98;  99.98;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;44.72078750;152.64822731;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.42""N";"3°14'25.84""E";"47°01'46.34""N";"1°45'13.21""E";"47°01'23.66""N";"4°43'49.62""E";"45°00'27.47""N";"1°47'53.88""E";"45°00'06.34""N";"4°40'06.64""E"; 46.02956;   3.24051; 47.02954;   1.75367; 47.02324;   4.73045; 45.00763;   1.79830; 45.00176;   4.66851;LC08_L2SP_198028_20130330_20200913_02_T2;LC81980282013089LGN02
LC08_L2SP_198029_20130330_20200912_02_T1;LC08_L1TP_198029_20130330_20200912_02_T1;LC81980292013089LGN02;30/03/2013;T1;2;198;29;198;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-03-30 10:35:11.32447;2013-03-30 10:35:41.12049;LGN;DAY;  82.35;  82.35;23;5;    8.433;    5.320;    6.544;LPGS_15.3.1c;45.83819458;151.41503123;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.10""N";"2°43'22.69""E";"45°36'10.76""N";"1°15'58.72""E";"45°36'36.50""N";"4°10'15.24""E";"43°34'41.92""N";"1°19'31.80""E";"43°35'05.93""N";"4°07'51.28""E"; 44.60836;   2.72297; 45.60299;   1.26631; 45.61014;   4.17090; 43.57831;   1.32550; 43.58498;   4.13091;LC08_L2SP_198029_20130330_20200912_02_T1;LC81980292013089LGN02
LC08_L2SP_194029_20130401_20200913_02_T2;LC08_L1GT_194029_20130401_20200913_02_T2;LC81940292013091LGN02;01/04/2013;T2;2;194;29;194;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-01 10:13:46.422995;2013-04-01 10:14:16.219016;LGN;DAY;  90.87;  85.82;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;46.61733279;151.26417938;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'29.41""N";"8°05'50.32""E";"45°35'58.31""N";"6°37'26.44""E";"45°37'22.69""N";"9°32'24.14""E";"43°34'03.14""N";"6°42'19.48""E";"43°35'21.77""N";"9°31'17.47""E"; 44.60817;   8.09731; 45.59953;   6.62401; 45.62297;   9.54004; 43.56754;   6.70541; 43.58938;   9.52152;LC08_L2SP_194029_20130401_20200913_02_T2;LC81940292013091LGN02
LC08_L2SP_197028_20130404_20200912_02_T1;LC08_L1TP_197028_20130404_20200912_02_T1;LC81970282013094LGN02;04/04/2013;T1;2;197;28;197;28;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-04 10:30:34.574386;2013-04-04 10:31:04.370406;LGN;DAY;  70.89;  70.89;379;5;    6.745;    4.477;    5.044;LPGS_15.3.1c;46.67550989;152.33428151;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.78""N";"4°20'52.44""E";"47°02'10.57""N";"2°53'40.92""E";"47°00'03.35""N";"5°50'47.54""E";"45°01'48.40""N";"2°53'54.38""E";"44°59'49.70""N";"5°44'43.87""E"; 46.02994;   4.34790; 47.03627;   2.89470; 47.00093;   5.84654; 45.03011;   2.89844; 44.99714;   5.74552;LC08_L2SP_197028_20130404_20200912_02_T1;LC81970282013094LGN02
LC08_L2SP_197029_20130404_20200913_02_T1;LC08_L1TP_197029_20130404_20200913_02_T1;LC81970292013094LGN02;04/04/2013;T1;2;197;29;197;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-04 10:30:58.355287;2013-04-04 10:31:28.151307;LGN;DAY;  99.93;  99.93;48;5;    7.875;    5.629;    5.508;LPGS_15.3.1c;47.78749412;151.02737856;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.28""N";"3°49'48.97""E";"45°36'33.08""N";"2°24'17.78""E";"45°35'16.62""N";"5°16'54.88""E";"43°35'59.75""N";"2°25'30.40""E";"43°34'48.40""N";"5°12'16.74""E"; 44.60841;   3.83027; 45.60919;   2.40494; 45.58795;   5.28191; 43.59993;   2.42511; 43.58011;   5.20465;LC08_L2SP_197029_20130404_20200913_02_T1;LC81970292013094LGN02
