nature,date,heures,consommation,thermique,nucléaire,eolien,solaire,hydraulique,pompage,bioénergies,stockage_batterie,déstockage_batterie,eolien_terrestre,eolien_offshore,ech._physiques,flux_physiques_d'auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_bourgogne-franche-comté_vers_auvergne-rhône-alpes,flux_physiques_de_bretagne_vers_auvergne-rhône-alpes,flux_physiques_de_centre-val_de_loire_vers_auvergne-rhône-alpes,flux_physiques_de_grand-est_vers_auvergne-rhône-alpes,flux_physiques_de_hauts-de-france_vers_auvergne-rhône-alpes,flux_physiques_d'ile-de-france_vers_auvergne-rhône-alpes,flux_physiques_de_normandie_vers_auvergne-rhône-alpes,flux_physiques_de_nouvelle-aquitaine_vers_auvergne-rhône-alpes,flux_physiques_d'occitanie_vers_auvergne-rhône-alpes,flux_physiques_de_pays-de-la-loire_vers_auvergne-rhône-alpes,flux_physiques_de_paca_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_bourgogne-franche-comté,flux_physiques_de_auvergne-rhône-alpes_vers_bretagne,flux_physiques_de_auvergne-rhône-alpes_vers_centre-val_de_loire,flux_physiques_de_auvergne-rhône-alpes_vers_grand-est,flux_physiques_de_auvergne-rhône-alpes_vers_hauts-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_ile-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_normandie,flux_physiques_de_auvergne-rhône-alpes_vers_nouvelle-aquitaine,flux_physiques_de_auvergne-rhône-alpes_vers_occitanie,flux_physiques_de_auvergne-rhône-alpes_vers_pays-de-la-loire,flux_physiques_de_auvergne-rhône-alpes_vers_paca,flux_physiques_allemagne_vers_auvergne-rhône-alpes,flux_physiques_belgique_vers_auvergne-rhône-alpes,flux_physiques_espagne_vers_auvergne-rhône-alpes,flux_physiques_italie_vers_auvergne-rhône-alpes,flux_physiques_luxembourg_vers_auvergne-rhône-alpes,flux_physiques_royaume-uni_vers_auvergne-rhône-alpes,flux_physiques_suisse_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_allemagne,flux_physiques_de_auvergne-rhône-alpes_vers_belgique,flux_physiques_de_auvergne-rhône-alpes_vers_espagne,flux_physiques_de_auvergne-rhône-alpes_vers_italie,flux_physiques_de_auvergne-rhône-alpes_vers_luxembourg,flux_physiques_de_auvergne-rhône-alpes_vers_royaume-uni,flux_physiques_de_auvergne-rhône-alpes_vers_suisse,tco_thermique_(%),tch_thermique_(%),tco_nucléaire_(%),tch_nucléaire_(%),tco_eolien_(%),tch_eolien_(%),tco_solaire_(%),tch_solaire_(%),tco_hydraulique_(%),tch_hydraulique_(%),tco_bioénergies_(%),tch_bioénergies_(%)
Données définitives,2022-02-01,01:30:00,9615.0,238.0,11309.0,408.0,0.0,1200.0,-1376.0,126.0,0.0,0.0,0.0,0.0,-2291.0,,,,,,,,,,,,,,158.0,,0.0,,,,,26.0,4329.0,,729.0,,,,,,,,,,,800.0,,,655.0,2.48,22.39,117.62,83.34,4.24,59.56,0.0,0.0,12.48,10.48,1.31,65.97
Données consolidées,2024-10-14,02:30:00,5203.0,8.0,7339.0,161.0,0.0,3318.0,-1283.0,113.0,0.0,0.0,0.0,0.0,-4454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.8,141.05,54.08,3.09,21.73,0.0,0.0,63.77,29.1,2.17,59.79
Données consolidées,2024-04-19,17:00:00,7090.0,12.0,6482.0,121.0,1210.0,2554.0,-1265.0,109.0,0.0,0.0,0.0,0.0,-2133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.2,91.42,47.77,1.71,16.33,17.07,54.19,36.02,22.4,1.54,57.67
Données consolidées,2024-04-09,01:30:00,5757.0,10.0,7090.0,314.0,0.0,3286.0,-1091.0,101.0,0.0,0.0,0.0,0.0,-3952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.0,123.15,52.25,5.45,42.38,0.0,0.0,57.08,28.82,1.75,53.44
Données définitives,2021-12-14,10:00:00,11113.0,685.0,12607.0,107.0,202.0,4814.0,-6.0,108.0,0,0,0,0,-7403.0,,267,,240,,,,,29,466,,138,,1553,,483,,,,,269,6048,,508,,,,88,,,965,,,,299,,,437,6.16,62.96,113.44,92.9,0.96,15.01,1.82,14.3,43.32,42.01,0.97,56.84
Données consolidées,2024-06-19,12:30:00,7375.0,10.0,9249.0,52.0,1558.0,4090.0,-13.0,101.0,0.0,0.0,0.0,0.0,-7672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.0,125.41,68.16,0.71,7.02,21.13,69.77,55.46,35.87,1.37,53.44
Données temps réel,2025-02-21,22:30:00,7614.0,127.0,9936.0,529.0,0.0,2517.0,-656.0,60.0,-5,0,,,-4895.0,,2016,,1378,,,,,106,297,,148,,-510,,0,,,,,-3,-2752,,-85,,,,0,,,110,,,,-3503,,,-1387,1.67,12.69,130.5,73.22,6.95,71.39,0.0,0.0,33.06,22.08,0.79,31.75
Données temps réel,2025-03-08,20:00:00,7004.0,117.0,9598.0,447.0,0.0,2888.0,-1.0,59.0,0,0,,,-6106.0,,1575,,1221,,,,,101,357,,55,,-1231,,0,,,,,-10,-2631,,-209,,,,0,,,231,,,,-3879,,,-905,1.67,11.69,137.04,70.73,6.38,60.32,0.0,0.0,41.23,25.33,0.84,31.22
Données consolidées,2024-09-05,12:30:00,7111.0,13.0,6880.0,51.0,759.0,2232.0,-245.0,119.0,0.0,0.0,0.0,0.0,-2698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.3,96.75,50.7,0.72,6.88,10.67,33.99,31.39,19.58,1.67,62.96
Données définitives,2022-06-10,22:30:00,6098.0,374.0,7664.0,187.0,0.0,3459.0,-6.0,121.0,0.0,0.0,0.0,0.0,-5702.0,,,,,,,,,,,,,,1414.0,,705.0,,,,,41.0,3488.0,,239.0,,,,,,,,,,,843.0,,,192.0,6.13,35.05,125.68,56.48,3.07,27.3,0.0,0.0,56.72,30.18,1.98,63.68
